,Scalar,ε-Constr,Pareto-Ch,MOBB,TwoPhase,OSS,MODP,MOA*,NSGA-II,MOEA/D
LinUCB,0.6163132357693699,0.6146129933324727,0.6149035092032826,0.6193468984900417,0.6152738565294299,0.614830307156606,0.6427348134043689,0.648473941783236,0.6173779253341916,0.6159687696537378
Thompson,0.7884854538346292,0.6536139205647145,0.7179968624086881,0.775113384544867,0.7823381463236005,0.7788219275702204,0.6866111841142921,0.67857818141349,0.7964267229880501,0.7279659206905169
NeuralUCB,0.6702004239485148,0.6797294720522472,0.6153969333608069,0.6850915955496735,0.6405454439286066,0.615062399916082,0.5939172670251259,0.5974292450781792,0.6977630973830881,0.5945673553096266
NeuralTS,0.7560340941883015,0.6402536190849352,0.6611601739465034,0.6563386662306292,0.5805904829295369,0.7686565603764406,0.6309085808833893,0.6415247411329679,0.5984987724661012,0.6413112953378328
DeepBandit,0.7016057856410718,0.5988506936103177,0.6642393148647167,0.7011577106686161,0.6427758622302947,0.6244377550277914,0.6460201607974642,0.620345501338695,0.5929223165883828,0.6628567074909603
Offline2On,0.6166934165369338,0.6145267286150443,0.614646885047761,0.6161070962459664,0.6172801186947081,0.6145139220124766,0.6392895212896822,0.6466505315910325,0.6165436665060678,0.6186692040179862
DelayedFB,0.6155961810349687,0.6150352381923048,0.6189484583558469,0.617147775626333,0.6144269319718326,0.6176591268374766,0.6154997260338583,0.6500139720895745,0.616069572394616,0.615425332651962
H-LinUCB,0.7266202308474149,0.7197398238323509,0.6632309882981025,0.7253315225467509,0.7256249997665718,0.7294924951472481,0.6007290482422006,0.6852379574960165,0.6848128357582838,0.5984552295432946
H-Thompson,0.6894046060240736,0.6312954969436487,0.6755251148208519,0.6872833662593982,0.6869254339673747,0.6860136074129184,0.6374262930460793,0.6489299348986213,0.684323141410902,0.6608137886242363
H-NeuralUCB,0.6469458352126104,0.6319869206880275,0.662060337404098,0.7018147302926273,0.7025363688993754,0.5784100138633416,0.6970215624328651,0.6841889607651792,0.6616085722808974,0.6735502516430016
H-NeuralTS,0.7450691319722086,0.6357007585013749,0.7339126338183696,0.7437935171643243,0.7460321449488021,0.7417358155235483,0.6721740761820002,0.6787960489181154,0.6923938525746692,0.7199924708521689
H-DeepBandit,0.7122174722598991,0.663185164555098,0.7531883724956953,0.5967618828829488,0.7490609519421814,0.6369255190329373,0.6435662193963905,0.6469728661581368,0.6254413010195548,0.679498791852993
H-Offline2On,0.7221273615068098,0.7215734627326754,0.6623872161030814,0.7272218116767248,0.7260775530357044,0.7270780905280445,0.6019300685812069,0.6853483183659316,0.6851990423059523,0.5978306684341917
H-DelayedFB,0.683701319965348,0.7189828094872217,0.6853011525483244,0.6851625267413449,0.684025023527024,0.6852109727428067,0.5959345875965031,0.6904644683661936,0.6850246815125993,0.6849553003910348
LlamaReasoning,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568,0.6483915858473568
LlamaInstruct,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436,0.6493332899096436
