,Scalar,ε-Constr,Pareto-Ch,MOBB,TwoPhase,OSS,MODP,MOA*,NSGA-II,MOEA/D
LinUCB,0.06349590806145995,0.06332073993072755,0.06335067044000897,0.06380845232957175,0.06338882561566797,0.06334312877100673,0.0599508443646027,0.060497866387228226,0.06360559811320368,0.06346041930746463
Thompson,0.040785324458523335,0.04667390315381138,0.04491088962858611,0.05005963152290738,0.04150333865396701,0.05079628901642436,0.04638195321209721,0.04746087708212826,0.03604538595203976,0.04767756513457142
NeuralUCB,0.027459787840016587,0.035296921164217294,0.06340150565353855,0.02448583573571642,0.04380418740283825,0.06336704021678184,0.0751033789479768,0.07263608338456849,0.02101296403897385,0.07518558539236125
NeuralTS,0.015574420820696403,0.06010087813401298,0.057622460612744134,0.04345675281824413,0.0860493172997641,0.01632943080761005,0.061662454038247015,0.05930879315749696,0.07176690542241936,0.06416844002978944
DeepBandit,0.0192180649013147,0.07086515163550501,0.03342851228990135,0.019157701071869697,0.04856755698164176,0.05778788034667683,0.03850762290759596,0.06261769688372842,0.08209638103817359,0.036890363770271446
Offline2On,0.06353507633120171,0.0633118524750494,0.0633242316377252,0.06347467045780965,0.06359552154656849,0.0633105330698962,0.059290186711128276,0.060263221663428464,0.06351964827669894,0.06373863259604363
DelayedFB,0.06342203322177116,0.06336424186974708,0.0637674028815633,0.06358188685106894,0.06330157088751497,0.06363456900619004,0.06341209590819921,0.06233026162746174,0.06347080454859774,0.06340443150142806
H-LinUCB,0.020000504197289704,0.01594777755772295,0.03686326637694457,0.020618366638491228,0.020482311950386887,0.01998535132879849,0.07286749081176103,0.028294802702871096,0.024482677700326114,0.07441803315649194
H-Thompson,0.0304810376509014,0.056900158695836194,0.03300619085074812,0.030844140466178747,0.03167458199623668,0.031538070822866686,0.051383880221402674,0.045070918042934595,0.03505237922245646,0.04313374219559162
H-NeuralUCB,0.05125687601855035,0.05136921701182432,0.036998890235930164,0.02340875476230984,0.019364217936665287,0.08587705243676327,0.03028891328211175,0.02219205164068094,0.02463206650547671,0.056443560734674394
H-NeuralTS,0.0335322081891048,0.0612542801218668,0.03712689423134821,0.03978415098951821,0.03743239705851798,0.033883512250722524,0.052241857561319764,0.05198898522598831,0.04782928849777475,0.04029629853412381
H-DeepBandit,0.020476892757788898,0.094405368176569,0.020303131079775997,0.07291145993624262,0.01617385596988375,0.0565241182395918,0.08244328745927415,0.05023104199784832,0.05751530689029097,0.023946037851634083
H-Offline2On,0.0215548274041228,0.015988406774469503,0.03581270721150955,0.02043624790489907,0.020559453516973407,0.02072405734539193,0.07295064874092579,0.027875865815988447,0.024497657996591666,0.07527362371369639
H-DelayedFB,0.02443614594269273,0.015931003862584312,0.024493325505375738,0.02448837088505862,0.024447715420832215,0.024490102391971837,0.07663357195093433,0.026303283374118972,0.024493621322276875,0.024480964415023468
LlamaReasoning,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836,0.054109415359904836
LlamaInstruct,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131,0.03478038585040131
