,Scalar,ε-Constr,Pareto-Ch,MOBB,TwoPhase,OSS,MODP,MOA*,NSGA-II,MOEA/D
LinUCB,5.873706197738647,5.892812204360962,16.41064782142639,6.905529403686524,6.0143773555755615,5.814149188995361,6.742056655883789,5.907894039154053,6.179850053787232,6.33890471458435
Thompson,6.059574556350708,5.970523881912231,7.518296432495117,6.184020233154297,6.410083055496216,6.416098976135254,6.0631311416625975,6.553766822814941,6.515044403076172,6.998024654388428
NeuralUCB,22.725153827667235,22.902101612091066,23.521682929992675,23.081441974639894,23.122761392593382,23.51346707344055,23.547050714492798,23.888537168502808,23.78762593269348,24.2087317943573
NeuralTS,17.24153060913086,16.838772678375243,18.344781255722047,17.228573417663576,17.704981660842897,17.566704750061035,17.284328603744505,17.736233139038085,17.90223979949951,17.848473644256593
DeepBandit,26.44892168045044,26.397104597091676,26.553448057174684,26.02324433326721,26.15318694114685,25.972456836700438,25.800115728378294,26.61458287239075,26.92332978248596,27.426761054992674
Offline2On,5.591946792602539,5.180019569396973,16.213076496124266,6.7491590023040775,5.908245706558228,5.7608133316040036,6.588094091415405,5.674005603790283,6.0292503356933596,6.252549123764038
DelayedFB,5.589282846450805,5.633325290679932,15.997186040878296,6.638147830963135,5.834251976013183,5.811419200897217,6.734008264541626,5.9565489292144775,6.032004356384277,6.1252209663391115
H-LinUCB,9.3069664478302,9.382987880706787,14.292416381835938,9.997871160507202,10.163713502883912,9.688372659683228,9.837385082244873,10.16852159500122,9.249718856811523,9.06718544960022
H-Thompson,10.590471887588501,9.751302909851074,13.692068481445313,11.728005313873291,11.757802820205688,11.802384090423583,11.35094313621521,11.130218601226806,11.008503341674805,11.430882596969605
H-NeuralUCB,27.789745092391968,26.796811294555663,27.739698314666747,26.821720170974732,27.063672685623168,26.858408164978027,26.86748285293579,27.14576554298401,27.283327484130858,27.43993043899536
H-NeuralTS,24.052178573608398,23.540360832214354,25.19671106338501,23.885993719100952,24.43280372619629,23.648782777786256,24.08599877357483,23.724222135543823,24.316049146652222,24.539095067977904
H-DeepBandit,26.32789011001587,25.97266411781311,27.537663888931274,26.468002700805663,26.25704860687256,25.9398464679718,26.30183892250061,26.66694059371948,26.505171012878417,26.645066022872925
H-Offline2On,7.530645561218262,7.865506887435913,12.74813985824585,8.701579523086547,8.533804845809936,8.568174505233765,8.777057933807374,8.213172769546508,8.428983592987061,9.095120429992676
H-DelayedFB,7.715555429458618,7.659423017501831,18.09084906578064,9.376126670837403,8.393231725692749,8.57549877166748,9.048765325546265,8.057556295394898,8.826523542404175,8.81284589767456
LlamaReasoning,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194,6901.537466049194
LlamaInstruct,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077,2127.088689804077
